 3794.6936  10.5152   9.8705   0.0000
 3795.5675  10.5138   9.8694   0.0000
 3796.4416  10.5125   9.8683   0.0000
 3797.3158  10.5112   9.8671   0.0000
 3798.1903  10.5099   9.8660   0.0000
 3799.0650  10.5085   9.8649   0.0000
 3799.9399  10.5072   9.8638   0.0000
 3800.8150  10.5059   9.8627   0.0000
 3801.6903  10.5046   9.8616   0.0000
 3802.5658  10.5033   9.8604   0.0000
 3803.4415  10.5020   9.8593   0.0000
 3804.3174  10.5007   9.8582   3.7512
 3805.1935  12.7851  12.0030   3.5928
 3806.0698   4.1678   3.9129   3.4761
 3806.9463  17.5862  16.5109   3.6304
 3807.8230   8.3781   7.8659   3.5660
 3808.6999  10.8285  10.1666   3.5205
 3809.5770  15.4387  14.4952   3.5836
 3810.4543  15.3439  14.4063   3.7108
 3811.3318  14.5355  13.6474   3.7206
 3812.2095  15.2252  14.2952   3.7306
 3813.0874  14.2719  13.4002   3.6537
 3813.9655  11.0988  10.4211   3.5623
 3814.8439   8.4636   7.9469   3.4862
 3815.7224   8.8839   8.3416   3.5018
 3816.6011   9.2494   8.6849   3.4101
 3817.4800   5.2148   4.8966   3.3781
 3818.3592  13.1204  12.3199   3.5048
 3819.2385  14.7474  13.8478   3.4930
 3820.1180  11.7261  11.0110   3.4683
 3820.9978   9.7797   9.1834   3.3063
 3821.8777   9.2784   8.7128   3.2223
 3822.7578   7.5658   7.1047   3.1133
 3823.6382  10.8405  10.1799   3.1702
 3824.5187  11.5188  10.8170   3.1939
 3825.3995  11.2671  10.5807   3.2230
 3826.2804   9.4757   8.8986   3.2532
 3827.1616   7.1869   6.7492   3.2535
 3828.0430   9.9928   9.3844   3.4315
 3828.9245  10.4139   9.7799   3.3886
 3829.8063   8.3705   7.8610   3.2943
 3830.6882   9.6936   9.1037   3.2645
 3831.5704   9.8952   9.2931   3.1317
 3832.4528  10.2484   9.6249   3.1582
 3833.3354  20.5975  19.3447   3.2098
 3834.2181   9.6994   9.1096   3.0926
 3835.1011  15.9504  14.9806   3.0527
 3835.9843  17.9225  16.8329   3.6840
 3836.8677  11.2513  10.5675   3.6421
 3837.7513  10.1948   9.5753   3.7627
 3838.6351  15.8008  14.8408   3.9345
 3839.5191  13.6145  12.7874   3.9308
 3840.4033  12.3598  11.6091   3.1292
 3841.2877  12.6657  11.8966   3.0727
 3842.1723  12.8561  12.0755   3.0211
 3843.0571  12.2079  11.4668   2.9575
 3843.9422   9.3119   8.7467   2.8271
 3844.8274   1.2556   1.1794   2.6846
 3845.7128  14.2375  13.3736   2.9899
 3846.5984  19.7761  18.5764   3.0965
 3847.4843  15.9033  14.9387   3.0015
 3848.3703  15.5965  14.6507   2.8606
 3849.2565  12.2053  11.4653   2.8023
 3850.1430   9.4247   8.8533   2.7012
 3851.0296   6.6433   6.2407   2.6198
 3851.9165   5.9103   5.5521   2.5844
 3852.8036   6.7923   6.3808   2.6019
