 3797.3158 187.2646 169.4298   0.0000
 3798.1903 187.2471 169.4171   0.0000
 3799.0650 187.2295 169.4044   0.0000
 3799.9399 187.2120 169.3918   0.0000
 3800.8150 187.1945 169.3792   0.0000
 3801.6903 187.1771 169.3665   0.0000
 3802.5658 187.1597 169.3539   0.0000
 3803.4415 187.1422 169.3414   0.0000
 3804.3174 187.1249 169.3288   0.0000
 3805.1935 187.1075 169.3162   0.0000
 3806.0698 187.0901 169.3037   0.0000
 3806.9463 187.0728 169.2912   0.0000
 3807.8230 187.0555 169.2787   0.0000
 3808.6999 187.0383 169.2662   0.0000
 3809.5770 187.0210 169.2537   0.0000
 3810.4543 187.0038 169.2413   0.0000
 3811.3318 186.9866 169.2288   0.0000
 3812.2095 186.9694 169.2164   0.0000
 3813.0874 186.9522 169.2040   7.2033
 3813.9655 191.4729 173.2987   7.4411
 3814.8439 184.9745 167.4202   7.3631
 3815.7224 191.6604 173.4748   7.5042
 3816.6011 205.5220 186.0246   7.7027
 3817.4800 191.1156 172.9881   7.5747
 3818.3592 211.0321 191.0190   7.7496
 3819.2385 212.7504 192.5779   7.7716
 3820.1180 204.1576 184.8032   7.6860
 3820.9978 211.4369 191.3959   7.6742
 3821.8777 213.9754 193.6974   7.6711
 3822.7578 213.8423 193.5804   7.6286
 3823.6382 219.3693 198.5873   7.6101
 3824.5187 196.4325 177.8267   7.1787
 3825.3995 191.2551 173.1428   7.2271
 3826.2804 210.7439 190.7895   7.2418
 3827.1616 182.2558 165.0018   7.1422
 3828.0430 203.3001 184.0572   7.2151
 3828.9245 197.1588 178.5004   7.3209
 3829.8063 196.5020 177.9090   7.2438
 3830.6882 197.8092 179.0958   7.2874
 3831.5704 188.8296 170.9688   7.1246
 3832.4528 187.8328 170.0693   7.0989
 3833.3354 168.9377 152.9639   6.8123
 3834.2181 194.0905 175.7416   7.0905
 3835.1011 200.7914 181.8123   7.1544
 3835.9843 187.8553 170.1020   6.9804
 3836.8677 192.6731 174.4676   7.0354
 3837.7513 211.4603 191.4830   7.1493
 3838.6351 198.5894 179.8313   7.0961
 3839.5191 202.5627 183.4326   6.9521
 3840.4033 187.4958 169.7916   6.8678
 3841.2877 184.5633 167.1390   6.7366
 3842.1723 197.9538 179.2686   6.8307
 3843.0571 163.8760 148.4101   6.4255
 3843.9422 174.2439 157.8023   6.4723
 3844.8274 180.6960 163.6485   6.5786
 3845.7128 172.9558 156.6414   6.4983
 3846.5984 173.6440 157.2675   6.4896
 3847.4843 187.3792 169.7103   6.6856
 3848.3703 182.3863 165.1911   6.5724
 3849.2565 156.9312 142.1384   6.1401
 3850.1430 160.9424 145.7741   6.1737
 3851.0296 162.1182 146.8417   6.0760
 3851.9165 164.7888 149.2632   6.1773
 3852.8036 175.4255 158.9006   6.2107
 3853.6908 171.6651 155.4972   6.2780
 3854.5783 187.5811 169.9171   6.4251
 3855.4660 192.8638 174.7055   6.5284
 3856.3538 195.5381 177.1312   6.5889
 3857.2419 203.3666 184.2259   6.6532
 3858.1302 201.1412 182.2132   6.5927
 3859.0187 178.6501 161.8415   6.2706
 3859.9074 204.5893 185.3433   6.5934
 3860.7963 209.9740 190.2248   6.6930
 3861.6854 198.5877 179.9126   6.5533
 3862.5747 198.4690 179.8082   6.5564
 3863.4642 207.5629 188.0503   6.6116
 3864.3539 199.8226 181.0408   6.5668
 3865.2438 211.2343 191.3833   6.6481
 3866.1340 193.5222 175.3388   6.3971
 3867.0243 201.4034 182.4826   6.5925
 3867.9148 209.4184 189.7479   6.5714
 3868.8056 194.7515 176.4618   6.5247
 3869.6965 204.7192 185.4966   6.5261
 3870.5877 198.2325 179.6221   6.4734
 3871.4790 194.0550 175.8398   6.4168
 3872.3706 198.8349 180.1742   6.4447
 3873.2624 203.8071 184.6829   6.5776
 3874.1544 206.4225 187.0562   6.6417
 3875.0465 214.3638 194.2558   6.7454
 3875.9389 211.5180 191.6803   6.6637
 3876.8315 203.3298 184.2631   6.4821
 3877.7243 202.1748 183.2196   6.4755
 3878.6173 208.5426 188.9936   6.5119
 3879.5105 214.4641 194.3634   6.5513
 3880.4039 213.7587 193.7275   6.5589
 3881.2975 210.3807 190.6693   6.5234
 3882.1914 202.6900 183.7023   7.4060
 3883.0854 195.8253 177.4837   7.3416
 3883.9796 193.8017 175.6526   7.4082
 3884.8741 197.4923 179.0007   7.4228
 3885.7687 201.6139 182.7395   6.3952
 3886.6636 193.1553 175.0758   6.3015
 3887.5586 203.0574 184.0542   6.3913
 3888.4539 198.6229 180.0377   6.3369
 3889.3494 184.7362 167.4533   6.1671
 3890.2451 185.9765 168.5804   6.1807
 3891.1409 196.5497 178.1677   6.3174
 3892.0370 180.8304 163.9212   6.1946
 3892.9333 186.4639 169.0308   6.2868
 3893.8298 181.6530 164.6726   6.1345
 3894.7266 181.8233 164.8298   6.2185
 3895.6235 194.2745 176.1202   6.2811
 3896.5206 178.2567 161.6020   6.1166
 3897.4179 172.4642 156.3533   6.0264
 3898.3155 174.2738 157.9965   6.0673
 3899.2132 174.8284 158.5020   6.1535
 3900.1112 209.0523 189.5331   6.5987
 3901.0093 256.6806 232.7183   7.3161
 3901.9077 229.1054 207.7209   6.9539
 3902.8062 204.4554 185.3748   6.5208
 3903.7050 180.6949 163.8345   6.1693
 3904.6040 169.6944 153.8631   5.9745
 3905.5032 172.1998 156.1373   5.9818
 3906.4026 176.1493 159.7211   5.9658
 3907.3022 173.7595 157.5569   5.9298
 3908.2020 181.4129 164.4994   5.9352
 3909.1020 178.1148 161.5114   5.9060
